cluster,target,anatolia_n,armenia_chl,steppe_mlba,tunisia_n,meggido_mlba_original
0,birgi_16,"0, 0, 3, 1, -1.0","1, 1, 1, 1, -0.5","0, 0, 3, 1, -1.0","0, 1, 3, 0, 0.12","4, 0, 0, 0, 1.0"
0,birgi_3,"0, 0, 3, 1, -1.0","0, 3, 0, 1, -0.5","0, 2, 1, 1, -0.67","4, 0, 0, 0, 1.0","4, 0, 0, 0, 1.0"
0,tribunale_t_113,"0, 0, 3, 1, -1.0","0, 1, 2, 1, -0.83","0, 1, 2, 1, -0.83","4, 0, 0, 0, 1.0","4, 0, 0, 0, 1.0"
1,birgi_176,"3, 0, 0, 0, 1.0","0, 1, 1, 1, -0.75","2, 1, 0, 0, 0.83","0, 0, 2, 1, -1.0","0, 0, 3, 0, 0.0"
1,birgi_184_1,"2, 0, 0, 0, 1.0","0, 0, 1, 1, -1.0","2, 0, 0, 0, 1.0","2, 0, 0, 0, 1.0","1, 0, 1, 0, 0.5"
1,birgi_9,"5, 0, 0, 0, 1.0","2, 2, 0, 1, -0.25","1, 2, 1, 1, -0.5","0, 0, 4, 1, -1.0","1, 2, 1, 1, -0.5"
1,birgi_14,"4, 0, 0, 0, 1.0","1, 0, 2, 1, -0.67","3, 0, 0, 1, 0.0","0, 0, 4, 0, 0.0","0, 0, 3, 1, -1.0"
1,selman_t_7,"4, 0, 0, 0, 1.0","1, 1, 1, 1, -0.5","3, 0, 0, 1, 0.0","0, 1, 2, 1, -0.83","2, 1, 1, 0, 0.62"
1,birgi_5,"3, 0, 0, 0, 1.0","0, 0, 2, 1, -1.0","3, 0, 0, 0, 1.0","0, 0, 2, 1, -1.0","0, 0, 3, 0, 0.0"
1,tribunale_t_138,"5, 0, 0, 0, 1.0","2, 2, 0, 1, -0.25","1, 2, 1, 1, -0.5","0, 1, 3, 1, -0.88","0, 3, 1, 1, -0.62"
1,selman_t_12,"2, 0, 0, 0, 1.0","2, 0, 0, 0, 1.0","0, 0, 1, 1, -1.0","0, 0, 2, 0, 0.0","0, 0, 2, 0, 0.0"
1,tribunale_t_128,"2, 0, 0, 0, 1.0","0, 0, 1, 1, -1.0","2, 0, 0, 0, 1.0","2, 0, 0, 0, 1.0","0, 0, 2, 0, 0.0"
1,mozia_1,"1, 0, 0, 0, 1.0","0, 0, 1, 0, 0.0","1, 0, 0, 0, 1.0","1, 0, 0, 0, 1.0","0, 0, 1, 0, 0.0"
1,lilibeo_13,"2, 0, 0, 0, 1.0","0, 0, 2, 0, 0.0","2, 0, 0, 0, 1.0","2, 0, 0, 0, 1.0","0, 0, 1, 1, -1.0"
1,lilibeo_12,"4, 0, 0, 0, 1.0","0, 0, 3, 1, -1.0","4, 0, 0, 0, 1.0","0, 0, 3, 1, -1.0","1, 0, 2, 1, -0.67"
1,castuk_t_15_a,"2, 0, 0, 0, 1.0","0, 1, 0, 1, -0.5","1, 1, 0, 0, 0.75","2, 0, 0, 0, 1.0","0, 0, 2, 0, 0.0"
1,italy_sicily_punic_i22095,"3, 0, 0, 0, 1.0","0, 0, 2, 1, -1.0","3, 0, 0, 0, 1.0","1, 0, 2, 0, 0.33","0, 0, 2, 1, -1.0"
1,italy_sicily_punic_i22236,"3, 0, 0, 0, 1.0","0, 0, 2, 1, -1.0","3, 0, 0, 0, 1.0","3, 0, 0, 0, 1.0","0, 0, 2, 1, -1.0"
1,italy_sicily_punic_i22232,"3, 0, 0, 0, 1.0","0, 2, 0, 1, -0.5","1, 2, 0, 0, 0.67","3, 0, 0, 0, 1.0","0, 0, 2, 1, -1.0"
1,italy_sicily_punic_i4798,"3, 0, 0, 0, 1.0","1, 1, 0, 1, -0.25","1, 1, 0, 1, -0.25","0, 1, 2, 0, 0.17","0, 2, 1, 0, 0.33"
1,italy_sicily_punic_i4799,"2, 0, 0, 0, 1.0","0, 0, 1, 1, -1.0","2, 0, 0, 0, 1.0","0, 0, 2, 0, 0.0","0, 0, 2, 0, 0.0"
1,italy_sicily_punic_i4800,"2, 0, 0, 0, 1.0","0, 0, 1, 1, -1.0","2, 0, 0, 0, 1.0","2, 0, 0, 0, 1.0","1, 0, 1, 0, 0.5"
1,italy_sicily_punic_i7454,"3, 0, 0, 0, 1.0","1, 2, 0, 0, 0.67","0, 2, 0, 1, -0.5","3, 0, 0, 0, 1.0","0, 0, 2, 1, -1.0"
